month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
03/1942,7.6,1.1,4.4,6.9,77.6,75.5
04/1942,12.1,3.9,8,8.6,68.8,51.9
05/1942,14,5.4,9.7,9.6,68.5,96.7
06/1942,16.8,8.1,12.4,11.5,69.8,34.9
07/1942,17.7,10.2,13.9,13.4,77,95.3
08/1942,18.3,11.2,14.7,14.5,77.1,117.1
09/1942,15.8,8.8,12.3,12.4,76.7,118.3
10/1942,12.4,6.3,9.3,10.3,80.4,137.8
11/1942,8.3,2.3,5.3,8.2,81.2,48.8
12/1942,8.5,3.6,6,8.4,88,147.5
01/1943,6.9,1.8,4.3,7.3,85.6,155.6
02/1943,8.5,2.8,5.6,7.8,79.7,87.9
03/1943,9.9,2.6,6.2,8,73.3,48.1
04/1943,12.7,5.1,8.9,9.2,72.6,69.3
05/1943,14.6,5.7,10.1,9.8,66,94.4
06/1943,16.8,8.7,12.7,12.2,74,75.1
07/1943,18.8,10.1,14.4,13.4,70.9,69.1
08/1943,17.6,10.1,13.8,13.2,75.9,122.5
09/1943,15.7,8.2,11.9,12.1,74,110.6
10/1943,13.4,6.9,10.1,11.2,78,140.6
11/1943,8.9,3.2,6,8.4,82.1,96.5
12/1943,6.7,1.4,4,7.6,86.3,70.2
01/1944,8.3,3,5.6,7.8,85.4,122
02/1944,6.1,0.7,3.4,6.9,81.4,56.3
03/1944,8.4,1.1,4.7,7.2,73.8,34.1
04/1944,12.5,4.9,8.7,9.1,72.1,69.8
05/1944,14.2,5.6,9.8,9.8,67.9,63.8
06/1944,16,8.3,12.2,11.8,76.4,85.2
07/1944,18.2,11.2,14.7,14.2,79.4,79.5
08/1944,19.8,11,15.4,14.1,68.4,86.4
09/1944,15.2,7.6,11.4,11.6,73.6,131
10/1944,11.6,5.5,8.5,10.1,80.8,145.4
11/1944,8.3,2.6,5.5,7.8,82.2,178.3
12/1944,6.9,1.9,4.3,7.6,87.2,120
01/1945,3.3,-2.5,0.4,5.7,83.4,112.1
02/1945,8.8,3.2,6,7.8,80.2,117.1
03/1945,10.8,4.1,7.4,8.6,76.4,55.3
04/1945,12.6,4.5,8.5,8.9,69,53.6
05/1945,14.6,6.1,10.4,9.9,68.7,101.9
06/1945,17,9,12.9,12.2,74.6,97.5
07/1945,18.9,11.2,15,14.4,75.6,91.5
08/1945,18.7,10.6,14.6,14,72.5,72
09/1945,16.8,9.8,13.3,13,76.7,100.5
10/1945,14.4,7.4,10.9,11.3,75.4,129.6
11/1945,9.9,4.5,7.2,9.3,83.5,29.8
12/1945,8.1,2.6,5.3,7.9,85.1,137.2
01/1946,5.9,0.4,3.1,7.1,83.8,125.4
02/1946,7.5,2.3,4.9,7.2,82.8,99.9
03/1946,8.4,1.5,4.9,7.3,76.1,57.1
04/1946,12.5,4.2,8.3,8.9,68.9,50.7
05/1946,14.3,5.3,9.8,9.7,65.2,62.1
06/1946,15.8,8,11.9,11.7,76.2,96.8
07/1946,18.3,10.5,14.4,14,75.6,105.6
08/1946,17.1,9.5,13.3,13.1,75.4,135.3
09/1946,15.9,9.5,12.7,13,79.7,152.2
10/1946,12.3,6.1,9.2,10.3,80.1,35.5
11/1946,9.7,4.4,7,9,83.8,169.6
12/1946,6.1,0.2,3.2,7.3,82.7,123.2
01/1947,5.1,-0.3,2.4,6.7,84.4,109.9
02/1947,1.4,-3.6,-1.1,5.2,83.2,48.4
03/1947,5.6,-0.6,2.5,6.2,80.1,149.7
04/1947,10.8,3.7,7.2,8.4,75.4,103.2
05/1947,15.3,6.8,11,10.4,68.3,80.8
06/1947,17.3,9.3,13.3,12.4,74.1,87.1
07/1947,18.8,10.9,14.8,14.1,75.7,87.8
08/1947,21.6,12.2,16.9,15.3,64.5,12.8
09/1947,17.3,9.4,13.4,12.8,72.4,97.6
10/1947,14,6.7,10.3,10.9,73.6,48.8
11/1947,9.3,3.7,6.5,8.3,82.2,142.3
12/1947,7.1,2.3,4.7,7.9,88.5,93.3
01/1948,6.4,1.1,3.8,6.9,85,188.9
02/1948,6.8,1.4,4.1,7.2,81.5,82.6
03/1948,11.5,3.4,7.4,8.2,69.2,69.4
04/1948,12,3.8,7.9,8.7,68.8,71.4
05/1948,14.8,5.2,10,9.5,61.3,62.9
06/1948,16.1,8.5,12.2,12,77,109.7
07/1948,17.8,10.5,14.1,13.7,77.8,78.3
08/1948,17.1,10.2,13.6,13.6,79.1,137
09/1948,15.9,9,12.4,12.5,77.6,117.7
10/1948,12.7,5.9,9.3,10,76.6,122.2
11/1948,10.5,4.5,7.5,9,80.3,85
12/1948,8,2.8,5.4,8.4,85.5,153.8
01/1949,7.8,2.1,4.9,7.6,83.6,102.3
02/1949,8.2,2.2,5.2,7.6,77.9,81.3
03/1949,8.4,1.4,4.9,7.3,75,68.1
04/1949,12.3,4.7,8.5,9.1,72.5,90.3
05/1949,14.3,5.4,9.8,9.7,66,66.7
06/1949,18.1,8.3,13.2,12,63.6,31.1
07/1949,19.7,10.9,15.2,14,70.5,60.8
08/1949,19.1,10.9,15,14.2,71.3,94.1
09/1949,18.4,10.7,14.5,14.3,73.2,67.9
10/1949,14.1,7.7,10.8,11.5,78.5,168.7
11/1949,9.4,3.6,6.5,8.7,81.7,139.5
12/1949,7.6,2.2,4.9,7.8,85.4,158.8
01/1950,6.8,1.8,4.3,7.6,85.6,74.9
02/1950,7.2,0.8,4,7,76.6,145.2
03/1950,10.2,3,6.6,8.3,74.1,70.6
04/1950,10.1,2.8,6.4,8.3,75,96.5
05/1950,14.6,6.1,10.3,10.3,68.8,50
06/1950,18.5,9.7,14.1,12.9,69.4,63.7
07/1950,18.3,10.8,14.5,14.2,76.9,119.7
08/1950,18.2,10.6,14.4,14.3,75,141
09/1950,14.9,8.5,11.7,12.3,79.7,192.1
10/1950,12.2,6,9,10.3,79.8,88.7
11/1950,7.9,2.3,5.1,7.9,82.5,146.7
12/1950,3.7,-1.2,1.2,6.2,88.1,94.7
01/1951,5.7,0.7,3.2,7,86.3,130.5
02/1951,5.7,0.1,2.9,6.6,80.4,115.5
03/1951,6.5,0.3,3.4,6.7,79.5,116.1
04/1951,9.4,1.8,5.6,7.6,72.7,86.5
05/1951,12.7,4.7,8.7,9.4,72.9,62.7
06/1951,16.6,7.7,12.1,11.5,69.1,45.1
07/1951,18.4,10.5,14.4,13.7,75,81.6
08/1951,17.1,10.1,13.6,13.7,78.2,137.6
09/1951,16.3,9.5,12.9,13.1,77.8,89.6
10/1951,13.1,6.2,9.6,10.7,76,46.9
11/1951,10.3,4.8,7.5,9.3,82.8,211.6
12/1951,7.8,2.2,5,7.9,84.2,154
01/1952,4.7,-0.8,2,6.4,84.3,117.6
02/1952,6.2,0.2,3.2,6.8,78.5,43.4
03/1952,8.6,2.8,5.7,7.7,81.3,88.7
04/1952,12.4,4.3,8.3,8.9,69.1,61.4
05/1952,15.8,7.2,11.5,10.8,68.3,66.4
06/1952,16.4,8.3,12.3,11.6,73.6,76.4
07/1952,18.8,10.9,14.8,13.8,75.1,54.7
08/1952,18.1,10.7,14.4,14,75.9,122
09/1952,13.6,6.5,10,10.9,75.9,96.9
10/1952,11.5,5.2,8.3,9.8,79.2,128.4
11/1952,6.8,1.3,4,7.4,82.9,100.3
12/1952,5.9,0.5,3.2,7.1,85.4,124
01/1953,6.2,1.5,3.8,7.3,87.2,55.2
02/1953,7.1,1.4,4.3,7.1,79.7,63.1
03/1953,9.6,1.4,5.4,7.4,68.1,34.7
04/1953,10.3,2.1,6.1,7.9,69.4,82.5
05/1953,15.5,6.9,11.2,10.6,68.1,70.3
06/1953,16.9,9.1,12.9,12.8,75.7,60.1
07/1953,17.7,10.5,14.1,14,78.6,121.6
08/1953,18.6,10.5,14.5,14.1,71.9,99.8
09/1953,16.6,9.5,13,13.2,76.5,111
10/1953,12.9,6.4,9.7,11.1,77.8,88.6
11/1953,10.4,5.2,7.8,9.5,84.2,130.8
12/1953,8.9,3.9,6.4,8.8,87.2,88.3
01/1954,5.7,0.5,3.1,6.9,85.4,95.4
02/1954,5,-0.6,2.2,6.4,80.1,102.1
03/1954,8.2,1.8,5,7.5,78.6,94.1
04/1954,11.2,2.6,6.9,8.2,66.7,32.3
05/1954,14.2,6.3,10.2,10.3,73.1,92.8
06/1954,15.5,8.5,12,12,80.5,94.7
07/1954,16.2,9.5,12.8,13,81.2,97.2
08/1954,16.7,9.9,13.2,13.5,79.5,116.6
09/1954,14.9,7.7,11.3,11.8,75.9,129.7
10/1954,13.4,7.3,10.3,11.1,80.6,184.5
11/1954,9.3,3.1,6.2,8.4,79.6,193.4
12/1954,8.3,3.4,5.9,8.4,88.1,147.3
01/1955,4.8,-0.4,2.2,6.5,85.6,99.5
02/1955,3.5,-2.3,0.6,5.6,79.5,84.2
03/1955,6.5,-0.8,2.9,6.4,73.6,56.6
04/1955,12.5,4,8.2,8.8,67.7,51.8
05/1955,12.6,4.6,8.6,9.1,72.1,92.6
06/1955,16.1,8.4,12.2,11.8,75.8,83.3
07/1955,20.8,10.8,15.8,14,65.8,31.5
08/1955,20.7,11.7,16.2,14.8,67.3,34.7
09/1955,17.1,9.5,13.3,13.2,74,90.7
10/1955,12.1,4.9,8.5,9.8,75,107.3
11/1955,9.9,4.2,7.1,9.1,81.7,68.5
12/1955,7.7,2.1,4.8,7.6,84.3,166.8
01/1956,5.6,0.2,2.9,6.7,84.4,130.7
02/1956,3.8,-2.5,0.6,5.5,77.2,46.7
03/1956,9,2,5.5,7.5,74.3,47.8
04/1956,10.3,1.7,6,7.7,66.9,49.9
05/1956,15,6.2,10.6,10.1,66.4,45.5
06/1956,15.6,7.8,11.7,11.4,75.7,78.1
07/1956,17.6,10.6,14,13.8,79.5,121.3
08/1956,15.7,8.5,12.1,12.6,77.5,157.6
09/1956,16.2,9.7,12.9,13,79.5,113.5
10/1956,12.2,5.8,9,10.3,78.5,87.9
11/1956,8.9,3.4,6.1,8.6,82.7,62.6
12/1956,8,3.4,5.7,8.4,89.7,152.3
01/1957,7.8,1.8,4.8,7.5,82.6,126.8
02/1957,7.2,1.1,4.1,6.9,78,103.6
03/1957,11.1,4.9,8,9.1,79.3,103.7
04/1957,11.8,3.8,7.8,8.8,70.8,31.3
05/1957,13.7,5.1,9.4,9.7,67.9,53.3
06/1957,18.2,8.4,13.3,12.3,63.2,59.9
07/1957,17.9,11.3,14.5,14.3,81,123.6
08/1957,17.5,10.6,14,14,78.6,125.1
09/1957,14.5,8.3,11.4,11.9,80.5,127
10/1957,13,6.6,9.8,10.9,78.7,107.3
11/1957,8.7,3.7,6.2,8.8,85.3,74.6
12/1957,7.2,1.6,4.4,7.6,84.3,127.2
01/1958,5.9,0.1,3,6.9,83.7,130.8
02/1958,6.7,0.7,3.7,6.9,78.6,126.6
03/1958,6,-0.2,2.9,6.5,79.8,60.5
04/1958,10.5,2.8,6.6,8.2,72.5,45.1
05/1958,13.5,5.4,9.4,9.6,71.4,95
06/1958,15.9,8.6,12.2,12.4,78.3,98.5
07/1958,18,10.6,14.2,14.1,77.6,114.7
08/1958,17.8,11,14.3,14.4,79.5,117
09/1958,17.5,10.5,14,14.3,76.6,122.4
10/1958,13.1,7.3,10.2,11.3,82.3,104.2
11/1958,9.3,3.8,6.5,9.1,83.3,62.5
12/1958,6.8,1.5,4.1,7.4,86.2,133.9
01/1959,4.5,-1.5,1.5,5.9,82.5,107.5
02/1959,7.4,1.3,4.3,7.4,78.1,29.9
03/1959,9.7,3.3,6.5,8.3,78,77.2
04/1959,11.8,4.4,8.1,8.9,74.2,93.6
05/1959,15.9,6.5,11.2,10.8,62.8,33.8
06/1959,17.8,9.2,13.5,12.4,70.5,65.5
07/1959,19.7,11.1,15.4,14.2,71.5,95.8
08/1959,19.9,11.5,15.7,14.5,70.3,46.2
09/1959,18.1,9.4,13.7,12.9,68.7,29.9
10/1959,15.2,8,11.6,11.9,74.1,136.2
11/1959,9.5,4,6.7,9.1,82.6,158.9
12/1959,7.9,2.7,5.2,7.8,86.4,186.4
01/1960,6.4,1,3.7,7,85,137.9
02/1960,6,-0.2,2.9,6.6,77.9,101.4
03/1960,8.3,2.8,5.6,7.6,83.6,56.4
04/1960,12.1,4.3,8.2,9.2,71.5,74.4
05/1960,16,7,11.5,11.2,65.9,48.8
06/1960,18.9,9.8,14.3,13.2,67.8,64.6
07/1960,17.5,10.4,13.9,13.4,79.6,115.2
08/1960,17.5,10,13.7,13.8,76,123.8
09/1960,15.7,8.6,12.1,12.4,76.1,111.6
10/1960,12.2,7,9.6,10.9,84.4,152.2
11/1960,9.3,3.7,6.5,8.5,82.5,161.9
12/1960,5.9,0.8,3.3,6.9,87.6,136.6
01/1961,5.8,0.5,3.1,6.8,85.1,132
02/1961,8.7,3.4,6,8.3,82.5,103.8
03/1961,11.2,3.7,7.4,8.7,72.1,46.9
04/1961,11.9,5.1,8.5,9.7,78.3,103.3
05/1961,14,5.7,9.8,9.5,70.4,46.7
06/1961,16.9,8.5,12.7,12,71.7,54.1
07/1961,17.1,9.9,13.5,12.7,78.2,86.2
08/1961,17.7,10.1,13.9,13.3,75.2,113.2
09/1961,17.2,9.9,13.5,13.9,75.4,113.8
10/1961,13,6.8,9.9,10.9,79.2,154.7
11/1961,8.4,2.8,5.5,8,82.7,89.3
12/1961,5,-0.8,2.1,6.6,83.5,116.2
01/1962,6.8,1,3.9,7.3,82.6,162
02/1962,7,1.2,4.1,6.9,80.3,73.6
03/1962,5.7,-1.3,2.2,6,75.5,59
04/1962,10.5,2.7,6.5,8.1,72.6,70.3
05/1962,12.6,5.3,9,9.4,77.5,72.9
06/1962,16.6,7.8,12.2,11.3,69.3,45.5
07/1962,16.8,9.6,13.1,12.5,79.2,66.3
08/1962,16.5,9.6,13,12.8,79.1,142.7
09/1962,14.7,8.3,11.5,12,80.2,131
10/1962,13.1,6.6,9.9,10.9,77.2,56.9
11/1962,7.9,2.6,5.2,8.2,84.6,89.4
12/1962,5.6,-0.1,2.7,6.6,83.3,115.9
01/1963,1.9,-3.4,-0.7,5,85.1,35.8
02/1963,2.6,-3.3,-0.4,5,80.6,36.6
03/1963,8.5,2,5.2,7.7,78.1,122.6
04/1963,10.7,3.8,7.3,8.8,78,81.8
05/1963,13,5.2,9.1,9.4,74.3,76.2
06/1963,17,9.3,13.1,12.8,76.6,86.8
07/1963,17.4,9.5,13.4,13.2,75.9,65.4
08/1963,16.3,9.8,13,13.1,81.2,121.9
09/1963,15.4,8.3,11.8,12.1,76.1,94.6
10/1963,13,6.9,9.9,10.9,81.1,100.1
11/1963,9.5,4.2,6.8,9.1,83.5,191.7
12/1963,5.4,0.4,2.9,6.7,87.2,41.5
01/1964,6.5,1.3,3.9,7.1,86.4,48.6
02/1964,6.7,1.5,4.1,7.2,82.9,41.8
03/1964,6.5,1.6,4,6.9,87.8,87.6
04/1964,11.1,4.3,7.6,9,78.3,79
05/1964,15.3,7.4,11.4,11.1,73.7,74.8
06/1964,16.1,8.7,12.3,11.8,78.4,80.5
07/1964,18,10.5,14.2,13.7,77.4,67.8
08/1964,17.7,9.8,13.7,13.5,73.1,99
09/1964,16.8,8.5,12.6,12.6,70.3,89.2
10/1964,11.9,4.9,8.4,9.8,75.6,92.9
11/1964,9.7,3.8,6.7,8.9,81.7,92.8
12/1964,6.2,0.3,3.2,6.9,82.8,139.8
01/1965,5.4,0.2,2.8,6.6,85.8,132.6
02/1965,5.7,0.5,3.1,6.6,83.7,25
03/1965,8,0.8,4.4,7.1,73.7,81.3
04/1965,11.1,3.1,7,8.4,71.2,81.4
05/1965,13.6,6.4,10,10.2,78.3,70.3
06/1965,16.7,8.9,12.8,12.5,76.1,88.2
07/1965,15.8,9.1,12.5,12.3,81.1,106.8
08/1965,17.3,9.6,13.4,13.2,75.1,94.2
09/1965,14.6,8.2,11.4,12.1,80.1,150.6
10/1965,13.5,6.8,10.1,10.9,77,83.2
11/1965,6.7,1.3,4,7.3,82.9,114
12/1965,6.5,1,3.7,7.3,85,171.3
01/1966,4.8,0.6,2.7,6.8,89.6,73
02/1966,6.6,2,4.3,7.7,86.1,131.4
03/1966,9.1,2.7,5.9,7.8,77.7,82.2
04/1966,9,3,6,8.1,83.5,90.7
05/1966,14.1,5.6,9.8,10,68.6,84.2
06/1966,17.4,10,13.7,13.5,78.1,112.2
07/1966,17.4,9.9,13.6,12.9,77.4,73.4
08/1966,17.1,9.5,13.3,13.2,75.1,102
09/1966,16.3,9.5,12.9,13,78.4,82.2
10/1966,12.2,6,9.1,10.6,79.6,137.7
11/1966,7.6,2.2,4.9,7.6,83.2,112.9
12/1966,7.3,1.8,4.5,7.7,84.7,172.5
01/1967,6.4,1.8,4.1,7.5,86.9,94.2
02/1967,7.5,2.2,4.8,7.5,81.3,112.9
03/1967,8.9,3,5.9,7.7,79.9,112.2
04/1967,10.7,3.5,7,8.4,75.6,56.6
05/1967,12.5,5.5,8.9,9.8,79.6,123.1
06/1967,17.1,8.4,12.7,12.1,70.4,52.9
07/1967,18.5,10.8,14.6,13.9,76.1,83.8
08/1967,17.9,10.4,14.2,14,76,88.7
09/1967,15.9,9.2,12.5,13,78.4,127.3
10/1967,12.3,6.6,9.4,10.5,82.6,211
11/1967,8.5,2.4,5.4,8.1,80.4,104.1
12/1967,6.8,1.6,4.2,7.5,86.3,104.6
01/1968,6.5,1.3,3.9,7.4,85.5,113.7
02/1968,4.4,-1.4,1.5,5.9,80.1,60.8
03/1968,8.8,2.1,5.4,7.6,77.1,97.9
04/1968,11.1,2.8,6.9,8.5,68.7,70
05/1968,12.1,4.6,8.4,9.4,76.3,89.7
06/1968,17.5,9,13.2,12.9,71.7,80.1
07/1968,17.1,10,13.5,13.1,79.1,99.3
08/1968,17.9,10.4,14.2,13.9,76.6,66.8
09/1968,16,9.5,12.7,13.2,79.4,140.1
10/1968,13.9,8.7,11.3,12.3,85.2,146.9
11/1968,8.4,3.7,6,8.3,87.1,82.8
12/1968,5.6,1,3.3,7,89.2,90.5
01/1969,7.2,2.3,4.7,7.9,86.8,128.4
02/1969,3.4,-2,0.7,5.7,82.1,77.9
03/1969,5.9,0.1,3,6.4,83.2,62.8
04/1969,10.7,2.4,6.5,7.9,68.7,64.7
05/1969,13.2,6.1,9.6,10.3,79.4,110.9
06/1969,17.3,8.2,12.7,12,68.5,67.3
07/1969,19.1,10.9,15,14.4,73.6,73.7
08/1969,18.6,11.4,15,14.6,77.6,77.3
09/1969,16.2,9.3,12.7,13,77.7,77.2
10/1969,15.1,8.7,11.9,12.5,78.4,66.4
11/1969,7.4,1.4,4.4,7.4,81.2,158.3
12/1969,5.7,0.7,3.2,7.1,87.1,108.3
01/1970,5.9,0.9,3.4,7.2,86.1,114.7
02/1970,5.3,-0.8,2.2,6.1,78.4,114.5
03/1970,6.6,0.1,3.4,6.6,77.8,80.5
04/1970,9.2,2.3,5.7,7.8,77.6,92.3
05/1970,15.1,7.1,11.1,10.9,73.4,43.5
06/1970,19.1,9.8,14.4,13.3,67,55.6
07/1970,16.9,10,13.4,13,79.7,103.6
08/1970,18.4,10.6,14.5,14.4,74.6,97.6
09/1970,16.4,9.5,12.9,13,77.5,106.3
10/1970,12.9,6.6,9.7,10.6,79,118.6
11/1970,9.4,4,6.7,8.8,83.1,189.2
12/1970,6.5,1.7,4.1,7.3,87.9,69.8
01/1971,6.8,2,4.3,7.7,85.8,118.7
02/1971,7.4,1.7,4.5,7.4,79.9,65.2
03/1971,8,1.8,4.9,7.4,80.9,84.3
04/1971,10.7,3.3,7,8.3,74.8,60.1
05/1971,14.8,5.9,10.3,10.3,66.4,60.5
06/1971,14.9,7.7,11.3,11.2,80.1,89.2
07/1971,19.4,10.5,15,14.4,68.2,65.1
08/1971,17.7,10.7,14.2,14.1,78.2,108.2
09/1971,17.5,9,13.2,13.2,67.9,45.4
10/1971,14.3,7.1,10.7,11.2,74.3,107.6
11/1971,9,2.7,5.8,8.3,77.3,123.3
12/1971,8.8,4.2,6.5,8.7,88.6,72.2
01/1972,5.8,1.4,3.6,7.1,86.2,120.8
02/1972,6.5,1.5,4,7.3,83.6,88.6
03/1972,9.2,2,5.6,7.7,72.7,83
04/1972,11,4.1,7.5,8.5,76.9,94.2
05/1972,13.1,6,9.5,9.8,79.3,85.6
06/1972,14.4,7.1,10.7,10.7,78.8,95.8
07/1972,18.1,10,14.1,13.7,73.4,59.1
08/1972,17.5,9.5,13.5,13,72.8,54.9
09/1972,14.9,7,10.9,11,71.7,36.6
10/1972,13.4,6.5,9.9,10.5,76.2,50.9
11/1972,8.6,2.6,5.6,8.2,80.1,137.6
12/1972,8.1,2.7,5.4,8.1,85.3,121.6
01/1973,6.7,2.1,4.4,7.7,86.3,78.6
02/1973,6.8,0.8,3.8,7.2,79,75.9
03/1973,9.7,1.7,5.7,7.6,69.1,46.1
04/1973,9.8,2.4,6.1,7.6,75,74
05/1973,13.6,6.2,9.9,10.2,77.8,87.4
06/1973,17.6,9,13.3,12.6,70.8,67.1
07/1973,18,10.5,14.2,13.9,76.9,91.2
08/1973,18.9,10.7,14.7,14.2,73.3,88.4
09/1973,16.5,9.3,12.9,12.9,74.6,95.8
10/1973,11.9,5.3,8.6,9.9,77.3,71.1
11/1973,8.6,2.5,5.5,8,79.7,110.4
12/1973,7.3,1.5,4.4,7.6,83.9,125.6
01/1974,8.3,2.9,5.6,8,83.8,179.7
02/1974,7.6,2.3,5,7.7,82.6,115.8
03/1974,8.1,1.9,5,7.5,77.3,59.2
04/1974,11.6,3.1,7.3,8.2,67.4,16.2
05/1974,14,5.9,9.9,9.9,73.2,55.2
06/1974,16.5,8.3,12.4,11.6,73.6,66.2
07/1974,17,10,13.5,13,79,90.5
08/1974,17.8,9.9,13.8,13.5,73.4,97
09/1974,14.3,7.6,10.9,11.4,78.3,147.8
10/1974,10.1,4.6,7.3,8.8,81.7,100.6
11/1974,8.7,3.3,6,8.5,83.3,147.6
12/1974,9.2,4.4,6.8,8.8,87.1,147.1
01/1975,8.4,2.9,5.6,8.3,85.4,184.8
02/1975,7.3,1.6,4.4,7.4,77.8,40.3
03/1975,7.2,1.3,4.2,6.9,80.4,69.6
04/1975,10.6,3.7,7.2,8.7,77.7,81.5
05/1975,12.9,4.8,8.8,8.9,71.3,42.4
06/1975,18,8.2,13.1,11.7,62.7,37.3
07/1975,19.3,11.4,15.4,14.5,73.5,81.4
08/1975,21,12,16.5,15.6,68.5,67.3
09/1975,15.7,8.3,12,12,74.8,142
10/1975,12.9,6.5,9.6,10.5,79,64.8
11/1975,9,3,6,8.3,78.5,103
12/1975,7.8,2.6,5.2,8,86.8,71.6
01/1976,7.3,2.5,4.9,7.7,86.1,124
02/1976,6.8,1.9,4.3,7.4,83.4,64.8
03/1976,7.4,1.4,4.4,7,79.3,86.5
04/1976,11.1,3.5,7.3,8.3,71.8,38.4
05/1976,14.3,6.6,10.4,10.5,76.3,85.2
06/1976,19.4,10,14.7,13.6,67.2,42.2
07/1976,21,11.6,16.3,14.3,67.9,48.1
08/1976,20.8,10.7,15.7,13.8,58.7,23.5
09/1976,15.4,9.1,12.2,12.2,81.5,147.1
10/1976,12.4,6.9,9.6,10.9,81.9,177.5
11/1976,8.7,3,5.8,8.3,82.1,108.7
12/1976,4.3,-0.4,1.9,6.4,87.8,103.7
01/1977,5,0,2.5,6.6,85.5,113.8
02/1977,6.5,1.4,3.9,7.3,82.7,141.3
03/1977,9,3.2,6.1,8.1,82.5,100.5
04/1977,9.7,2.9,6.2,7.7,77,82.3
05/1977,13.7,5.1,9.4,9.3,68.5,56
06/1977,15.3,7.5,11.4,11,75.9,76.1
07/1977,18.6,10.6,14.5,13.4,74.4,43.2
08/1977,18,10.1,14,13.7,73.4,98.6
09/1977,15.1,8.6,11.8,12,80,85.2
10/1977,13.9,8.1,11,11.7,78.9,117.8
11/1977,8.2,2.8,5.4,7.9,80.6,150.8
12/1977,7.9,3.3,5.6,8.2,87.1,96.9
01/1978,5.4,0.2,2.8,6.7,83.5,138.8
02/1978,4.6,-0.9,1.8,6.4,81.7,96.2
03/1978,8.9,2.6,5.7,7.9,78.2,120.6
04/1978,9,2.6,5.8,7.7,80.8,46.3
05/1978,15,6.2,10.6,10.4,67.1,38.5
06/1978,16.2,8.5,12.4,11.7,76.2,61.6
07/1978,16.7,9.8,13.2,12.9,80.4,85.7
08/1978,17.1,10.5,13.7,13.6,79.8,79.8
09/1978,15.9,9.5,12.7,12.6,78.5,112.1
10/1978,14,8,10.9,11.6,79.9,56.7
11/1978,10.5,4.8,7.6,9.5,82.3,124.7
12/1978,6.1,1.7,3.9,7.5,87.7,164.1
01/1979,3.3,-2.8,0.2,5.6,81,106.7
02/1979,3.8,-1.2,1.3,5.7,84.8,55.4
03/1979,6.5,0.8,3.7,6.8,81.9,141.7
04/1979,9.9,3.3,6.5,8.1,79.6,80.3
05/1979,12.2,4.5,8.4,9.3,76.3,105.7
06/1979,16.6,8.8,12.7,12.2,75.8,51.9
07/1979,18.1,10.4,14.2,13.6,76,59.5
08/1979,17,9.7,13.4,13.1,77.6,112.5
09/1979,15.8,8.3,12,12.1,74.3,75.9
10/1979,13.4,7.5,10.4,11.4,78.9,119
11/1979,9.2,3.1,6.1,8.5,79.2,147.1
12/1979,7.2,2.5,4.8,7.7,84.7,182.8
01/1980,4.7,-0.2,2.2,6.4,84.9,104.5
02/1980,7.5,2.3,4.8,8,83.2,104.7
03/1980,6.9,1.2,4,7,82.2,108.2
04/1980,12,3.8,7.9,8.4,71,19.8
05/1980,14.9,5.4,10.1,9.2,63.2,29.8
06/1980,16.2,9,12.6,12.3,80.5,123.1
07/1980,16.9,9.9,13.4,13.1,78.9,92.8
08/1980,17.9,10.9,14.3,14.2,78.5,105.6
09/1980,16.5,10.3,13.4,13.5,80.5,120.7
10/1980,11.3,5.1,8.2,9.5,78.5,159
11/1980,8.4,3.6,6,8.2,83,132.8
12/1980,7.8,2.4,5,7.9,83.9,138.9
01/1981,7,1.2,4.1,7.4,83.4,105.7
02/1981,5.7,0.2,2.9,6.5,79.8,71.5
03/1981,9.2,3.6,6.4,8.6,84.1,157.2
04/1981,10.9,3.1,7,8.3,72.8,46.9
05/1981,14.1,6.5,10.3,10.7,76.7,89.6
06/1981,15.5,8.7,12.1,11.7,80.3,69.2
07/1981,17.6,10.5,14.1,13.4,78.1,70.3
08/1981,19,10.8,14.9,14.2,71.8,47.6
09/1981,17,9.5,13.2,13.1,74.9,180.2
10/1981,10.3,3.9,7.1,8.8,78.4,172.8
11/1981,9.6,3.9,6.7,8.8,82.1,133.4
12/1981,3.9,-2,0.9,5.9,83,95.8
01/1982,5.4,-0.4,2.5,7,82,115.7
02/1982,7.3,1.8,4.5,7.5,80.8,77.6
03/1982,8.7,1.8,5.2,7.4,73.1,126.7
04/1982,11.9,3.7,7.8,8.5,71,32.3
05/1982,14.8,5.4,10.1,9.9,64.8,60.8
06/1982,17.2,9.8,13.5,13,76.9,100.8
07/1982,19.3,10.9,15.1,14.2,71.9,43.5
08/1982,18,10.8,14.3,13.9,77,114.4
09/1982,16.5,8.9,12.7,12.8,74.3,132.4
10/1982,12.3,6.7,9.5,10.6,81.1,149.3
11/1982,9.3,4.2,6.7,8.9,81.6,177.2
12/1982,6.6,0.9,3.8,7.3,81,154.2
01/1983,8.1,3,5.5,7.9,83.8,154.8
02/1983,4.5,-0.9,1.8,5.8,80.2,51.5
03/1983,8.6,2.9,5.7,8.1,82,106.6
04/1983,9.3,2,5.7,7.7,74.2,88.9
05/1983,12.2,5.8,9,9.7,83.6,101.8
06/1983,16.5,8.8,12.6,11.9,76.3,56.3
07/1983,21.5,12.1,16.8,15.5,64.9,36.9
08/1983,20.3,11.4,15.8,14.6,66.3,45.7
09/1983,15.4,9.2,12.3,12.3,80.7,132
