month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
06/1910,16.9,8.9,12.9,12.1,74.6,68
07/1910,16.8,9.6,13.1,12.9,78.9,96.6
08/1910,17.6,10.6,14.1,14.1,78.4,139.9
09/1910,15.5,8.4,11.9,12.2,76.4,30.9
10/1910,12.8,6.8,9.8,10.7,80.9,94.4
11/1910,6.5,0.7,3.6,7.1,81.5,153.6
12/1910,7.7,3.4,5.5,8.3,90.5,139.3
01/1911,6.1,1.5,3.8,7.5,87.4,61.5
02/1911,7,1.2,4.1,7.1,79.5,106.8
03/1911,7.7,1.4,4.5,7.1,79.3,62.2
04/1911,10.4,3.1,6.7,8.1,74.4,72.7
05/1911,15.8,6.9,11.3,10.6,65.2,53.1
06/1911,17.2,8.6,12.8,12.2,71,79.5
07/1911,20.5,10.9,15.7,13.9,66.8,54
08/1911,20.3,11.5,15.9,14.6,67.8,68.9
09/1911,16.6,8.5,12.5,12.3,70.9,74.3
10/1911,11.9,5.3,8.6,9.6,77.9,105.6
11/1911,8.1,2.6,5.3,7.9,83.1,153.7
12/1911,7.8,3.1,5.4,8.3,88.8,193.7
01/1912,5.8,1,3.4,7.1,86.6,116
02/1912,7.2,1.4,4.3,7.1,79.5,86.8
03/1912,9.2,3.3,6.2,8.1,81.7,125.7
04/1912,12.1,3.7,7.8,8.6,67.2,37.9
05/1912,14.3,6.1,10.2,10.1,71,61.2
06/1912,15.9,8.5,12.2,11.9,77.7,123
07/1912,18,10.2,14.1,13.6,75.7,92.5
08/1912,15.1,8.3,11.7,12.4,80,161.3
09/1912,13.9,7,10.4,11.3,77.2,59.5
10/1912,11.6,4.4,8,9.5,74.2,125
11/1912,8.1,3.2,5.6,8.2,85.7,114.8
12/1912,8.2,2.7,5.4,7.9,85.2,157.2
01/1913,6.1,1.6,3.8,7.4,87.3,129.1
02/1913,7,1.5,4.2,7.3,80.2,56.5
03/1913,8.1,1.6,4.8,7.3,78.2,135.3
04/1913,10.5,3.2,6.9,8.2,75.2,98.2
05/1913,13.8,6,9.9,10.1,74.3,82.4
06/1913,16.4,8.4,12.3,12,74.7,62.9
07/1913,17.2,9.9,13.5,13.4,78.3,31.7
08/1913,18.3,9.9,14,13.5,70.5,45.4
09/1913,16.2,8.9,12.5,12.6,75,85.1
10/1913,13.2,7,10.1,11,79.5,104.9
11/1913,10.4,4.7,7.5,9.1,82,126.2
12/1913,6.6,2.2,4.3,7.7,90.2,99.1
01/1914,5.7,1,3.3,7.2,87,85.9
02/1914,8.5,2.6,5.5,7.8,78,113.1
03/1914,8.1,1.7,4.9,7.3,79.1,133.3
04/1914,12.6,4.8,8.7,9.2,70.8,55.4
05/1914,13.7,5.6,9.6,9.7,71.8,62.1
06/1914,17.3,8.4,12.8,12.1,69,51.1
07/1914,18.4,10.7,14.5,13.6,76.1,99.8
08/1914,19,10.7,14.9,14,71,86.1
09/1914,16.3,8.6,12.4,12.4,73.2,66.5
10/1914,12.7,6.5,9.6,10.7,79.8,69.4
11/1914,9,3,6,8.3,80.8,149.6
12/1914,6.1,1.1,3.6,7.3,87.2,207.7
01/1915,5.5,1.1,3.3,7.1,88.4,126.2
02/1915,5.9,0.3,3.1,6.9,80.2,139.9
